order_id,user_id,order_timestamp,order_value,discount_amount,shipping_cost,payment_method,delivery_type,is_first_order
210,9665,2025-10-11,81.73,6.08,2.01,credit_card,standard_shipping,0
211,644,2024-07-26,61.05,19.1,12.99,paypal,standard_shipping,1
212,2655,2026-05-03,214.41,11.21,14.5,paypal,express_shipping,0
213,2685,2024-11-18,155.7,33.34,5.11,paypal,standard_shipping,1
214,2886,2025-11-13,31.62,0.06,3.22,paypal,express_shipping,1
215,8832,2026-04-04,105.37,34.67,11.15,paypal,express_shipping,0
216,3260,2025-09-28,195.74,20.25,1.82,paypal,standard_shipping,1
217,10313,2024-01-30,60.26,8.45,14.37,apple_pay,standard_shipping,0
218,589,2026-12-29,124.64,0.39,0.38,credit_card,express_shipping,1
219,1680,2024-06-12,119.45,30.0,9.09,credit_card,express_shipping,1
220,774,2026-07-07,245.28,14.3,14.67,paypal,express_shipping,1
221,2052,2026-03-09,237.33,3.49,7.4,apple_pay,express_shipping,1
222,225,2025-01-28,61.23,0.79,12.13,paypal,express_shipping,1
223,5176,2025-08-21,88.66,12.33,11.98,apple_pay,standard_shipping,0
224,9288,2025-12-13,184.38,23.98,5.44,paypal,express_shipping,1
225,485,2025-02-23,81.59,27.32,1.3,paypal,express_shipping,1
226,9416,2025-08-09,95.66,39.24,5.06,credit_card,standard_shipping,1
227,11828,2024-08-08,131.42,18.28,12.43,paypal,standard_shipping,0
228,4392,2024-12-13,78.56,38.13,3.36,credit_card,standard_shipping,1
229,3222,2025-03-05,45.98,38.22,10.98,credit_card,standard_shipping,0
230,10964,2024-01-07,198.71,36.62,12.82,apple_pay,express_shipping,1
231,7907,2024-12-22,109.34,28.82,5.14,paypal,express_shipping,1
232,1593,2024-11-24,80.35,38.85,8.79,apple_pay,express_shipping,0
233,7218,2024-01-09,203.83,25.6,4.85,apple_pay,standard_shipping,1
234,1412,2026-09-27,198.83,33.3,10.08,credit_card,standard_shipping,0
235,11326,2024-08-23,54.95,33.44,1.17,credit_card,standard_shipping,0
236,10099,2025-06-13,244.63,0.23,8.28,apple_pay,express_shipping,1
237,2956,2026-04-07,212.98,5.32,2.93,paypal,standard_shipping,0
238,3932,2025-11-02,112.75,24.66,13.28,apple_pay,express_shipping,0
239,8552,2024-07-21,123.74,27.91,14.94,paypal,standard_shipping,1
240,11725,2024-01-03,126.1,28.32,7.34,credit_card,express_shipping,0
241,8190,2024-06-08,211.92,29.45,1.53,paypal,express_shipping,1
242,5028,2024-02-13,156.49,19.79,10.12,credit_card,express_shipping,1
243,6612,2025-12-13,137.67,31.83,10.09,apple_pay,express_shipping,1
244,6308,2025-10-13,197.24,30.43,11.52,credit_card,standard_shipping,0
245,151,2024-01-10,114.78,39.44,2.25,paypal,express_shipping,0
246,7097,2026-04-24,186.69,12.86,4.45,paypal,standard_shipping,0
247,11835,2026-10-03,76.46,16.45,2.73,credit_card,standard_shipping,0
248,85,2024-08-07,136.93,4.64,9.53,paypal,express_shipping,1
249,5325,2025-11-05,219.05,35.28,5.78,paypal,standard_shipping,1
250,11917,2024-01-10,131.15,20.47,8.32,paypal,standard_shipping,1
251,11551,2026-05-31,169.37,37.35,2.49,apple_pay,standard_shipping,1
252,5488,2025-09-06,70.31,22.22,7.42,credit_card,express_shipping,0
253,6682,2025-07-28,106.28,28.35,9.49,apple_pay,express_shipping,1
254,2874,2024-10-24,16.04,17.59,14.08,apple_pay,express_shipping,0
255,9344,2025-09-12,49.27,36.86,9.94,paypal,express_shipping,1
256,1739,2025-11-14,45.43,10.04,7.81,apple_pay,express_shipping,1
257,10010,2026-12-30,159.45,18.07,3.47,apple_pay,standard_shipping,1
258,3563,2024-01-07,82.92,31.24,11.09,paypal,express_shipping,0
259,3242,2026-08-15,217.32,28.28,1.22,paypal,standard_shipping,1
260,2439,2026-08-13,168.5,7.42,3.45,paypal,standard_shipping,1
261,9381,2026-11-05,183.53,4.55,8.56,apple_pay,standard_shipping,1
262,6694,2025-11-22,28.31,23.06,14.93,paypal,express_shipping,1
263,9420,2026-07-23,160.23,18.44,0.09,paypal,express_shipping,0
264,9157,2026-12-15,236.07,30.06,5.64,apple_pay,standard_shipping,1
265,11815,2026-03-10,15.34,14.69,6.65,credit_card,standard_shipping,1
266,11729,2025-05-23,183.0,15.77,7.23,paypal,express_shipping,1
267,9080,2025-10-20,108.74,3.68,11.55,credit_card,standard_shipping,0
268,9588,2026-07-07,154.07,35.47,10.13,paypal,standard_shipping,0
269,1385,2024-08-07,127.98,15.55,13.71,paypal,standard_shipping,0
270,1569,2024-10-26,149.95,9.71,5.95,paypal,express_shipping,0
271,10280,2025-07-23,200.72,24.93,5.41,paypal,express_shipping,1
272,10428,2025-01-15,129.63,11.62,4.78,paypal,standard_shipping,1
273,5847,2025-10-04,176.13,6.06,13.67,credit_card,express_shipping,0
274,11121,2024-01-23,164.08,32.34,14.83,credit_card,standard_shipping,0
275,7010,2024-03-19,134.87,23.8,14.48,apple_pay,express_shipping,1
276,4215,2024-06-04,166.38,35.3,7.24,credit_card,standard_shipping,1
277,1155,2025-05-24,98.07,7.22,11.6,paypal,express_shipping,0
278,8476,2026-08-03,56.69,0.93,9.4,credit_card,express_shipping,0
279,11018,2024-07-15,218.37,13.64,4.2,paypal,standard_shipping,0
280,1733,2026-06-05,135.37,15.73,2.0,credit_card,standard_shipping,1
281,4631,2026-08-22,196.84,16.75,4.01,credit_card,standard_shipping,1
282,6905,2024-04-14,127.45,4.0,13.08,paypal,standard_shipping,0
283,1417,2025-04-07,79.43,35.26,4.93,apple_pay,standard_shipping,1
284,7020,2024-11-09,44.27,39.22,6.88,apple_pay,standard_shipping,1
285,10426,2024-11-06,166.06,21.14,2.72,apple_pay,standard_shipping,0
286,7167,2025-06-15,241.02,14.77,2.1,apple_pay,standard_shipping,1
287,7697,2026-01-09,186.3,32.77,3.89,paypal,express_shipping,0
288,5374,2025-11-30,50.77,7.8,10.87,apple_pay,express_shipping,1
289,619,2025-07-31,39.56,17.9,10.27,credit_card,express_shipping,1
290,8644,2024-06-10,187.89,17.56,5.83,credit_card,standard_shipping,0
291,9815,2025-02-25,208.54,37.24,9.51,apple_pay,express_shipping,0
292,2395,2025-11-07,193.99,30.14,9.87,apple_pay,express_shipping,1
293,1132,2025-02-06,202.7,21.51,1.98,paypal,standard_shipping,0
294,4603,2024-12-24,49.95,28.37,12.77,credit_card,standard_shipping,0
295,9501,2025-05-07,69.97,26.15,2.29,paypal,express_shipping,0
296,8066,2025-10-29,205.22,12.72,14.85,credit_card,express_shipping,0
297,6277,2024-07-09,38.94,1.76,12.07,paypal,standard_shipping,0
298,11589,2026-09-18,181.46,17.16,10.23,apple_pay,express_shipping,0
299,1519,2026-09-29,245.27,0.55,3.32,apple_pay,standard_shipping,1
300,2457,2026-01-07,164.68,8.1,4.47,credit_card,express_shipping,1
301,9316,2026-10-09,108.24,13.81,4.69,credit_card,standard_shipping,1
302,9754,2024-08-29,237.98,17.99,13.2,credit_card,express_shipping,1
303,9619,2024-02-07,194.32,1.15,13.85,apple_pay,express_shipping,1
304,2038,2025-06-03,85.64,18.42,5.98,paypal,express_shipping,0
305,3731,2026-08-19,108.52,19.4,13.12,paypal,standard_shipping,1
306,3822,2025-11-12,97.16,30.26,10.9,paypal,express_shipping,1
307,2101,2026-09-09,141.25,21.58,12.83,credit_card,express_shipping,0
308,6088,2025-05-30,192.83,13.57,0.77,paypal,standard_shipping,0
309,4189,2026-06-26,202.35,10.8,12.55,apple_pay,standard_shipping,1
310,11396,2024-08-19,124.79,24.89,8.4,paypal,standard_shipping,0
311,10115,2026-02-10,152.01,25.54,4.37,credit_card,express_shipping,1
312,4273,2026-03-28,192.24,24.44,13.18,credit_card,standard_shipping,1
313,2281,2024-06-27,130.22,29.7,9.64,paypal,express_shipping,0
314,11001,2024-12-13,17.57,7.03,12.6,paypal,standard_shipping,1
315,2513,2026-08-04,148.39,3.13,10.47,credit_card,standard_shipping,1
316,2698,2024-04-09,172.82,24.96,2.79,paypal,express_shipping,0
317,8287,2025-07-06,89.59,29.62,5.94,credit_card,standard_shipping,0
318,3716,2024-10-26,79.39,1.3,5.8,apple_pay,express_shipping,1
319,10220,2024-06-24,83.99,33.67,8.79,paypal,express_shipping,0
320,9570,2026-10-11,169.44,31.03,14.33,paypal,express_shipping,0
321,2131,2026-02-20,178.17,29.38,14.29,paypal,standard_shipping,0
322,4914,2025-02-02,31.61,29.52,14.01,credit_card,standard_shipping,1
323,11523,2025-08-08,46.39,30.61,4.02,credit_card,standard_shipping,0
324,1742,2025-10-28,37.3,25.6,12.93,apple_pay,standard_shipping,1
325,5833,2024-12-03,242.29,17.64,2.13,apple_pay,express_shipping,1
326,9849,2024-12-19,93.58,5.53,11.05,apple_pay,express_shipping,0
327,3557,2026-01-29,226.98,4.85,6.22,paypal,express_shipping,0
328,557,2024-02-17,36.99,21.53,3.07,apple_pay,express_shipping,1
329,3331,2025-02-25,187.69,20.43,4.72,credit_card,express_shipping,0
330,1684,2024-06-22,18.44,32.44,13.89,credit_card,standard_shipping,1
331,4451,2026-03-20,27.09,14.88,4.57,apple_pay,express_shipping,1
332,7348,2025-08-22,225.1,13.85,8.2,credit_card,standard_shipping,0
333,1752,2025-03-03,48.68,33.25,2.2,apple_pay,standard_shipping,1
334,8880,2026-06-02,48.88,18.53,13.09,paypal,express_shipping,1
335,4884,2025-09-23,103.36,36.47,8.24,credit_card,standard_shipping,1
336,8752,2026-02-14,17.2,4.17,7.84,paypal,express_shipping,0
337,6940,2024-11-10,136.09,8.29,5.81,apple_pay,standard_shipping,1
338,4643,2026-09-13,224.76,27.91,2.39,apple_pay,express_shipping,0
339,7526,2026-12-15,108.51,34.17,9.16,apple_pay,express_shipping,0
340,6346,2026-01-15,19.92,0.51,8.3,paypal,standard_shipping,0
341,5687,2025-08-05,143.36,11.68,13.32,credit_card,standard_shipping,1
342,10503,2026-02-12,225.81,24.07,9.09,paypal,standard_shipping,1
343,3843,2025-05-18,20.93,17.85,3.87,credit_card,standard_shipping,1
344,1430,2024-01-27,185.95,34.19,7.68,paypal,express_shipping,1
345,5904,2025-07-25,93.86,0.12,2.58,credit_card,express_shipping,0
346,5719,2025-08-11,90.68,17.66,5.59,paypal,express_shipping,0
347,1731,2024-07-26,136.43,28.93,2.2,credit_card,standard_shipping,1
348,10523,2025-01-04,136.26,30.37,8.49,apple_pay,standard_shipping,1
349,2977,2024-11-04,184.15,7.7,0.34,paypal,standard_shipping,1
350,3006,2024-09-21,209.94,27.34,1.42,paypal,standard_shipping,1
351,6744,2025-07-24,163.19,2.94,2.03,apple_pay,express_shipping,0
352,3200,2026-06-03,133.32,16.82,14.06,paypal,express_shipping,0
353,4395,2024-09-15,146.65,8.07,8.87,paypal,express_shipping,0
354,6407,2025-07-10,71.31,35.1,7.45,paypal,express_shipping,1
355,7117,2024-04-08,131.22,15.38,4.49,credit_card,express_shipping,1
356,7444,2026-06-24,116.27,4.79,6.38,paypal,standard_shipping,1
357,1341,2025-12-09,56.84,21.08,6.44,paypal,express_shipping,1
358,4038,2024-01-05,211.39,11.08,1.31,apple_pay,express_shipping,0
359,10818,2024-12-21,30.69,13.29,5.72,apple_pay,standard_shipping,0
360,9434,2024-11-24,80.11,30.16,14.71,paypal,standard_shipping,0
361,6805,2024-01-24,40.38,5.96,3.17,credit_card,standard_shipping,0
362,6434,2025-09-24,154.11,38.08,7.35,apple_pay,express_shipping,1
363,8373,2024-05-28,19.11,12.25,4.44,apple_pay,express_shipping,1
364,9610,2024-03-11,24.05,27.12,10.82,apple_pay,express_shipping,1
365,3713,2026-05-27,88.4,3.08,1.38,credit_card,express_shipping,1
366,3710,2024-08-15,171.62,10.88,11.15,paypal,express_shipping,1
367,4811,2026-05-18,119.29,10.86,10.11,paypal,standard_shipping,1
368,11906,2024-01-10,68.81,34.25,14.35,credit_card,standard_shipping,0
369,8519,2024-02-03,90.31,11.63,4.73,credit_card,standard_shipping,0
370,10569,2024-06-06,151.83,10.6,13.08,apple_pay,express_shipping,0
371,1942,2025-02-24,44.38,18.7,13.18,credit_card,standard_shipping,1
